stage,n,fraud_n,fraud_rate,mean_predicted_probability,brier,pr_auc,cycle,strategy,test_step_min,test_step_max
calibration,68033,762,0.011200446841973749,0.011249160274383514,0.0076047676218766735,0.469669755548773,1,rolling_calibration,595,644
policy_selection,160070,790,0.004935340788405073,0.01662228279534313,0.006106395868807971,0.2673461863507272,1,rolling_policy_selection,595,644
cycle_1_test,42416,552,0.013013956997359487,0.023882910700508547,0.012153893161957263,0.3302570258567696,1,frozen_v1_7,595,644
cycle_1_test,42416,552,0.013013956997359487,0.023882910700508547,0.012153893161957263,0.3302570258567696,1,rolling_refresh,595,644
calibration,133185,792,0.005946615609865976,0.006008743883275651,0.004757011655955059,0.3158437233137782,2,rolling_calibration,645,694
policy_selection,93487,810,0.008664306267181534,0.0095800513822924,0.0072025368252228595,0.2913996352480572,2,rolling_policy_selection,645,694
cycle_2_test,66772,546,0.008177080213263044,0.02494894125719528,0.009570238043868412,0.3174660907005933,2,frozen_v1_7,645,694
cycle_2_test,66772,546,0.008177080213263044,0.010578327230221615,0.00664893915551663,0.31737579927159026,2,rolling_refresh,645,694
calibration,126931,814,0.006412933010848413,0.00645006146050915,0.005405087940641108,0.2788687967424706,3,rolling_calibration,695,743
policy_selection,76445,818,0.010700503630060828,0.008300281382310825,0.008639540985302062,0.3300581764935002,3,rolling_policy_selection,695,743
cycle_3_test,14392,556,0.038632573652028906,0.031329528892367516,0.025614853371665768,0.5272354455929186,3,frozen_v1_7,695,743
cycle_3_test,14392,556,0.038632573652028906,0.011515732256119805,0.030146302364926988,0.5331377342585155,3,rolling_refresh,695,743
